Name,Sum,Mean,Minimum,Maximum,Standard Deviation,Median
Normal-ECG,-43369,-0.12932072996183205,-961,735,89.98608144176865,-2.0
Dia-ECG,-87828,-0.2257092927631579,-1741,584,66.4557171553821,1.0
